(2*(25 + 35*d + 3*d**2))/(-625 + 400*d - 50*d**2 + 32*d**3),(2*(150 - 395*d + 227*d**2))/(-625 + 400*d - 50*d**2 + 32*d**3),(2*(25 + 35*d + 3*d**2))/(-625 + 400*d - 50*d**2 + 32*d**3),(2*(150 - 395*d + 227*d**2))/(-625 + 400*d - 50*d**2 + 32*d**3),(10*(-70 + 45*d + 7*d**2))/(-625 + 400*d - 50*d**2 + 32*d**3),(2*(-225 + 295*d - 361*d**2 + 192*d**3))/(-625 + 400*d - 50*d**2 + 32*d**3),(2*(25 + 35*d + 3*d**2))/(-625 + 400*d - 50*d**2 + 32*d**3),(2*(150 - 395*d + 227*d**2))/(-625 + 400*d - 50*d**2 + 32*d**3),0
-((-100 - 35*d + 108*d**2)/(-1250 + 1925*d - 820*d**2 + 64*d**3)),-((-600 + 1985*d - 2180*d**2 + 768*d**3)/(-1250 + 1925*d - 820*d**2 + 64*d**3)),-((-100 - 35*d + 108*d**2)/(-1250 + 1925*d - 820*d**2 + 64*d**3)),-((-600 + 1985*d - 2180*d**2 + 768*d**3)/(-1250 + 1925*d - 820*d**2 + 64*d**3)),(-5*(-56 + 47*d))/(250 - 185*d + 16*d**2),-((900 - 775*d + 172*d**2)/(-1250 + 1925*d - 820*d**2 + 64*d**3)),(-5*(-56 + 47*d))/(250 - 185*d + 16*d**2),-((900 - 775*d + 172*d**2)/(-1250 + 1925*d - 820*d**2 + 64*d**3)),0
-1/5*(100 + 185*d + 16*d**2)/(250 - 385*d + 144*d**2),-1/5*(600 - 2135*d + 1296*d**2)/(250 - 385*d + 144*d**2),-1/5*(-1400 + 945*d + 144*d**2)/(250 - 385*d + 144*d**2),-1/5*(-900 + 2125*d - 2416*d**2 + 1024*d**3)/(250 - 385*d + 144*d**2),-1/5*(-1400 + 945*d + 144*d**2)/(250 - 385*d + 144*d**2),-1/5*(-900 + 2125*d - 2416*d**2 + 1024*d**3)/(250 - 385*d + 144*d**2),-1/5*(100 + 185*d + 16*d**2)/(250 - 385*d + 144*d**2),-1/5*(600 - 2135*d + 1296*d**2)/(250 - 385*d + 144*d**2),0
(-2*(-25 - 20*d + 36*d**2))/(5*(-125 + 305*d - 244*d**2 + 64*d**3)),(-2*(30 - 103*d + 64*d**2))/(5*(25 - 41*d + 16*d**2)),(-2*(-70 + 61*d))/(5*(25 - 41*d + 16*d**2)),(-2*(225 - 430*d + 196*d**2))/(5*(-125 + 305*d - 244*d**2 + 64*d**3)),(-2*(-70 + 61*d))/(5*(25 - 41*d + 16*d**2)),(-2*(225 - 430*d + 196*d**2))/(5*(-125 + 305*d - 244*d**2 + 64*d**3)),(-2*(-70 + 61*d))/(5*(25 - 41*d + 16*d**2)),(-2*(225 - 430*d + 196*d**2))/(5*(-125 + 305*d - 244*d**2 + 64*d**3)),0
-1/25*(700 + 175*d + 8*d**2)/(-25 - 9*d + 16*d**2),-1/25*(450 - 65*d - 536*d**2 + 512*d**3)/(-25 - 9*d + 16*d**2),-1/25*(-50 + 555*d + 72*d**2)/(-25 - 9*d + 16*d**2),-1/25*(-300 - 185*d + 648*d**2)/(-25 - 9*d + 16*d**2),-1/25*(-50 + 555*d + 72*d**2)/(-25 - 9*d + 16*d**2),-1/25*(-300 - 185*d + 648*d**2)/(-25 - 9*d + 16*d**2),-1/25*(-50 + 555*d + 72*d**2)/(-25 - 9*d + 16*d**2),-1/25*(-300 - 185*d + 648*d**2)/(-25 - 9*d + 16*d**2),0
-1/5*(-1400 + 1045*d + 144*d**2)/(250 - 135*d - 216*d**2 + 128*d**3),-1/5*(-900 - 275*d + 784*d**2)/(250 - 135*d - 216*d**2 + 128*d**3),-1/5*(100 - 1215*d + 976*d**2)/(250 - 135*d - 216*d**2 + 128*d**3),-1/5*(600 - 35*d - 1584*d**2 + 1024*d**3)/(250 - 135*d - 216*d**2 + 128*d**3),-1/5*(100 - 1215*d + 976*d**2)/(250 - 135*d - 216*d**2 + 128*d**3),-1/5*(600 - 35*d - 1584*d**2 + 1024*d**3)/(250 - 135*d - 216*d**2 + 128*d**3),-1/5*(-1400 + 1045*d + 144*d**2)/(250 - 135*d - 216*d**2 + 128*d**3),-1/5*(-900 - 275*d + 784*d**2)/(250 - 135*d - 216*d**2 + 128*d**3),0
-((-1400 - 305*d - 12*d**2)/(1250 - 675*d - 180*d**2 + 64*d**3)),-((-900 + 1075*d + 100*d**2 - 768*d**3)/(1250 - 675*d - 180*d**2 + 64*d**3)),-((-1400 - 305*d - 12*d**2)/(1250 - 675*d - 180*d**2 + 64*d**3)),-((-900 + 1075*d + 100*d**2 - 768*d**3)/(1250 - 675*d - 180*d**2 + 64*d**3)),(5*(-20 + 213*d + 28*d**2))/(1250 - 675*d - 180*d**2 + 64*d**3),-((600 - 185*d - 908*d**2)/(1250 - 675*d - 180*d**2 + 64*d**3)),(5*(-20 + 213*d + 28*d**2))/(1250 - 675*d - 180*d**2 + 64*d**3),-((600 - 185*d - 908*d**2)/(1250 - 675*d - 180*d**2 + 64*d**3)),0
-((-700 + 545*d + 54*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),-((-450 + 335*d + 86*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),-((-700 + 545*d + 54*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),-((-450 + 335*d + 86*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),(-5*(10 - 117*d + 94*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),-((300 - 295*d - 418*d**2 + 384*d**3)/(625 - 900*d + 270*d**2 + 32*d**3)),-((-700 + 545*d + 54*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),-((-450 + 335*d + 86*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),0
-((1400 + 225*d + 4*d**2)/(-1250 - 325*d + 620*d**2 + 64*d**3)),-((900 - 355*d + 180*d**2 + 256*d**3)/(-1250 - 325*d + 620*d**2 + 64*d**3)),-((-100 + 985*d + 132*d**2)/(-1250 - 325*d + 620*d**2 + 64*d**3)),-((-600 + 905*d + 388*d**2)/(-1250 - 325*d + 620*d**2 + 64*d**3)),-((1400 + 225*d + 4*d**2)/(-1250 - 325*d + 620*d**2 + 64*d**3)),-((900 - 355*d + 180*d**2 + 256*d**3)/(-1250 - 325*d + 620*d**2 + 64*d**3)),-((-100 + 985*d + 132*d**2)/(-1250 - 325*d + 620*d**2 + 64*d**3)),-((-600 + 905*d + 388*d**2)/(-1250 - 325*d + 620*d**2 + 64*d**3)),0
-((-700 + 585*d + 18*d**2)/(625 - 400*d - 450*d**2 + 288*d**3)),-((-450 - 25*d + 306*d**2)/(625 - 400*d - 450*d**2 + 288*d**3)),-((50 - 545*d + 434*d**2)/(625 - 400*d - 450*d**2 + 288*d**3)),-((300 - 655*d + 202*d**2 + 128*d**3)/(625 - 400*d - 450*d**2 + 288*d**3)),-((-700 + 585*d + 18*d**2)/(625 - 400*d - 450*d**2 + 288*d**3)),-((-450 - 25*d + 306*d**2)/(625 - 400*d - 450*d**2 + 288*d**3)),-((-700 + 585*d + 18*d**2)/(625 - 400*d - 450*d**2 + 288*d**3)),-((-450 - 25*d + 306*d**2)/(625 - 400*d - 450*d**2 + 288*d**3)),0
(-2*(70 + 9*d))/(5*(-25 + 16*d)),(-2*(225 - 325*d + 288*d**2))/(25*(-25 + 16*d)),(-2*(70 + 9*d))/(5*(-25 + 16*d)),(-2*(225 - 325*d + 288*d**2))/(25*(-25 + 16*d)),(-2*(70 + 9*d))/(5*(-25 + 16*d)),(-2*(225 - 325*d + 288*d**2))/(25*(-25 + 16*d)),(-2*(-25 + 235*d + 32*d**2))/(25*(-25 + 16*d)),(-2*(-30 + 73*d))/(5*(-25 + 16*d)),0
